#(id,from,to,speed,planTime)
(10000, 15, 35, 6, 1)
(10001, 16, 34, 6, 1)
(10002, 7, 31, 4, 1)
(10003, 34, 7, 4, 1)
(10004, 22, 2, 2, 1)
(10005, 20, 2, 2, 1)
(10006, 21, 2, 6, 1)
(10007, 23, 2, 2, 1)
(10008, 31, 1, 6, 1)
(10009, 30, 8, 6, 1)
(10010, 33, 2, 2, 1)
(10011, 15, 33, 2, 1)
(10012, 21, 2, 6, 1)
(10013, 35, 12, 2, 1)
(10014, 16, 36, 2, 1)
(10015, 1, 28, 2, 1)
(10016, 22, 1, 2, 1)
(10017, 9, 32, 6, 1)
(10018, 13, 31, 4, 1)
(10019, 15, 35, 2, 1)
(10020, 27, 5, 6, 1)
(10021, 12, 35, 4, 1)
(10022, 4, 30, 2, 1)
(10023, 21, 2, 6, 1)
(10024, 25, 5, 6, 1)
(10025, 35, 16, 4, 1)
(10026, 26, 7, 2, 1)
(10027, 18, 36, 2, 1)
(10028, 4, 35, 6, 1)
(10029, 18, 36, 4, 1)
(10030, 26, 2, 4, 1)
(10031, 32, 5, 6, 1)
(10032, 8, 34, 2, 1)
(10033, 33, 6, 4, 1)
(10034, 2, 23, 4, 1)
(10035, 1, 19, 6, 1)
(10036, 7, 32, 6, 1)
(10037, 19, 1, 4, 1)
(10038, 35, 6, 4, 1)
(10039, 11, 36, 2, 1)
(10040, 31, 6, 2, 1)
(10041, 16, 34, 4, 1)
(10042, 31, 9, 4, 1)
(10043, 27, 9, 2, 1)
(10044, 23, 2, 4, 1)
(10045, 2, 29, 4, 1)
(10046, 22, 1, 2, 1)
(10047, 16, 34, 4, 1)
(10048, 1, 31, 4, 1)
(10049, 4, 23, 2, 1)
(10050, 15, 34, 6, 1)
(10051, 9, 30, 2, 1)
(10052, 14, 32, 6, 1)
(10053, 9, 30, 2, 1)
(10054, 8, 35, 6, 1)
(10055, 2, 22, 2, 1)
(10056, 16, 35, 2, 1)
(10057, 31, 10, 6, 1)
(10058, 24, 4, 2, 1)
(10059, 4, 29, 2, 1)
(10060, 14, 36, 4, 1)
(10061, 12, 34, 4, 1)
(10062, 4, 22, 6, 1)
(10063, 13, 33, 2, 1)
(10064, 23, 1, 2, 1)
(10065, 3, 31, 4, 1)
(10066, 35, 7, 4, 1)
